N,scalar_kokkos,--->,scalar_base,--->,simd_kokkos
1000,3.99444e-05,x1.027,3.89093e-05,x5.331,7.2985e-06
2000,8.2675e-05,x0.872,9.48036e-05,x6.948,1.3645e-05
4000,0.000195126,x1.204,0.000162012,x6.075,2.66685e-05
8000,0.000280902,x1.109,0.000253243,x6.597,3.83881e-05
16000,0.000556491,x0.895,0.000621543,x8.07,7.70217e-05
32000,0.0017765,x1.25,0.00142108,x9.713,0.000146314
64000,0.00224858,x0.931,0.00241517,x8.358,0.000288975
128000,0.0046367,x1.02,0.00454651,x7.648,0.000594474
256000,0.00917923,x1.062,0.00864339,x7.433,0.0011628
512000,0.0188861,x1.055,0.0179013,x7.705,0.00232323
1024000,0.0387097,x1.064,0.0363763,x7.735,0.00470277
2048000,0.073773,x0.99,0.074521,x7.8,0.00955338
4096000,0.159315,x1.092,0.145947,x7.665,0.0190413
8192000,0.303269,x1.025,0.295901,x7.878,0.0375619
16384000,0.60634,x1.048,0.57831,x7.717,0.0749402
32768000,1.2292,x1.069,1.15015,x7.645,0.150442
65536000,2.45993,x1.019,2.4145,x7.84,0.307958
