N,Vector Size (Bytes),Cache Level,scalar_kokkos,--->,scalar_base,--->,simd_kokkos
1000,4000,L1,5.95e-07,x1.695,3.51e-07,x1.403,2.5025e-07
2000,8000,L1,8.44625e-07,x1.29,6.54875e-07,x2.363,2.77125e-07
4000,16000,L1,1.55125e-06,x1.219,1.27288e-06,x3.142,4.05125e-07
8000,32000,L1,2.96712e-06,x1.174,2.52675e-06,x2.615,9.66375e-07
16000,64000,L1,5.76938e-06,x1.138,5.07125e-06,x2.987,1.69775e-06
32000,128000,L2,1.15759e-05,x1.151,1.00571e-05,x3.168,3.17487e-06
64000,256000,L2,2.25595e-05,x1.131,1.9947e-05,x3.254,6.13e-06
128000,512000,L2,4.50224e-05,x1.127,3.99349e-05,x3.32,1.20279e-05
256000,1024000,L2,9.76101e-05,x1.141,8.55405e-05,x2.713,3.15281e-05
512000,2048000,L2,0.000210479,x1.106,0.000190236,x2.146,8.86278e-05
1024000,4096000,L3,0.000427874,x1.091,0.000392091,x2.153,0.000182131
2048000,8192000,L3,0.000961716,x1.096,0.000877118,x1.284,0.000683299
4096000,16384000,RAM,0.00197998,x1.123,0.0017625,x1.214,0.00145217
8192000,32768000,RAM,0.00409084,x1.131,0.00361692,x1.146,0.00315533
16384000,65536000,RAM,0.00836405,x1.118,0.00747864,x1.148,0.00651543
32768000,131072000,RAM,0.0164829,x1.127,0.0146318,x1.118,0.0130907
65536000,262144000,RAM,0.0333406,x1.126,0.0296062,x1.123,0.0263533
