N,Vector Size (Bytes),Cache Level,scalar_kokkos,--->,scalar_base,--->,simd_kokkos
1000,4000,L1,7.7675e-07,x5.732,1.355e-07,x0.391,3.46875e-07
2000,8000,L1,1.14212e-06,x5.582,2.04625e-07,x0.542,3.7725e-07
4000,16000,L1,2.166e-06,x4.028,5.3775e-07,x0.773,6.96e-07
8000,32000,L1,4.06613e-06,x3.133,1.298e-06,x0.984,1.3195e-06
16000,64000,L1,8.9725e-06,x3.562,2.51875e-06,x0.918,2.7445e-06
32000,128000,L2,1.79194e-05,x3.588,4.99437e-06,x0.811,6.15763e-06
64000,256000,L2,3.45264e-05,x3.595,9.60375e-06,x0.77,1.24656e-05
128000,512000,L2,7.01261e-05,x4.323,1.62219e-05,x0.833,1.94785e-05
256000,1024000,L2,0.000164492,x3.056,5.38288e-05,x0.782,6.88042e-05
512000,2048000,L2,0.000212515,x2.41,8.81871e-05,x0.994,8.87037e-05
1024000,4096000,L3,0.000435449,x2.389,0.000182235,x0.986,0.000184744
2048000,8192000,L3,0.000966489,x1.597,0.000605346,x0.975,0.000620688
4096000,16384000,RAM,0.0019907,x1.404,0.00141824,x0.978,0.00144998
8192000,32768000,RAM,0.00412202,x1.328,0.00310382,x0.975,0.00318322
16384000,65536000,RAM,0.00828649,x1.293,0.00640749,x0.982,0.0065239
32768000,131072000,RAM,0.016772,x1.304,0.0128663,x0.979,0.0131478
65536000,262144000,RAM,0.0330906,x1.29,0.0256478,x0.98,0.0261706
